run_accession	sample_accession	read_count	sample_alias
ERR7757493	SAMEA11476494	195376202	EJH_MT_042220
ERR7757499	SAMEA11476495	234750912	EJH_MT_042420
ERR7757500	SAMEA11476496	202950052	EJH_MT_042720
ERR7757501	SAMEA11476497	192046374	EJH_MT_042820
ERR7757502	SAMEA11476498	205254350	EJH_MT_050320
ERR7757503	SAMEA11476499	220121980	EJH_MT_050420
ERR7757504	SAMEA11476500	204631044	EJH_MT_050520
ERR7757505	SAMEA11476501	175417410	EJH_MT_051020
ERR7757506	SAMEA11476502	249048542	EJH_MT_051120
ERR7757507	SAMEA11476506	236809086	EJH_MT_051220
ERR7757508	SAMEA11476507	190283518	EJH_MT_051820
ERR7757509	SAMEA11476508	196862690	EJH_MT_051920
ERR7757510	SAMEA11476509	200854942	EJH_MT_052720
ERR7757511	SAMEA11476510	230405940	EJH_MT_052820
ERR7757512	SAMEA11476511	197583966	EJH_MT_053020
ERR7757513	SAMEA11476512	196451258	EJH_MT_053120
ERR7757514	SAMEA11476513	240299764	EJH_MT_060120
ERR7757515	SAMEA11476514	242046536	EJH_MT_060220
ERR7757516	SAMEA11476515	222497408	EJH_MT_060320
ERR7757517	SAMEA11476516	215335376	EJH_MT_060420
ERR7764176	SAMEA11476517	228031646	EJH_MT_060520
ERR7764177	SAMEA11476518	216874708	EJH_MT_060620
ERR7764178	SAMEA11476519	196324360	EJH_MT_060720
ERR7764179	SAMEA11476520	209525324	EJH_MT_060820
ERR7764180	SAMEA11476521	203717458	EJH_MT_060920
ERR7764181	SAMEA11476522	235508062	EJH_MT_061020
ERR7764182	SAMEA11476523	153099468	EJH_MT_061120
ERR7764183	SAMEA11476525	203923844	EJH_MT_061320
ERR7764184	SAMEA11476526	225573938	EJH_MT_061420
ERR7764185	SAMEA11476527	210647120	EJH_MT_061520
ERR7764186	SAMEA11476528	303177890	EJH_MT_061720
ERR7764187	SAMEA11476529	236187914	EJH_MT_061820
ERR7764188	SAMEA11476530	208109134	EJH_MT_061920
ERR7764189	SAMEA11476531	189563436	EJH_MT_062020
ERR7764190	SAMEA11476532	207151388	EJH_MT_062120
ERR7764191	SAMEA11476533	206983618	EJH_MT_062220
ERR7764192	SAMEA11476534	171912584	EJH_MT_062320
ERR7764193	SAMEA11476535	215768330	EJH_MT_062420
ERR7764194	SAMEA11476536	207242006	EJH_MT_062520
ERR7764195	SAMEA11476538	217580714	EJH_MT_062720
ERR7764198	SAMEA11476541	167142388	EJH_MT_063020
ERR7764199	SAMEA11476542	231485120	EJH_MT_070120
ERR7764200	SAMEA11476545	394107608	EJH_MT_070320
ERR7764201	SAMEA11476546	387320706	EJH_MT_070420
ERR7764202	SAMEA11476547	287677694	EJH_MT_070520
ERR7764203	SAMEA11476549	324393856	EJH_MT_070720
ERR7764204	SAMEA11476551	326489678	EJH_MT_070820
ERR7764205	SAMEA11476552	310774542	EJH_MT_070920
ERR7764206	SAMEA11476539	220353822	EJH_MT_062820
ERR7845975	SAMEA11476553		ALA_IN_041220
ERR7850079	SAMEA11476554		ALA_IN_041420
ERR7850080	SAMEA11476555		ALA_IN_042220
ERR7850081	SAMEA11476556		ALA_IN_042720
ERR7850082	SAMEA11476557		ALA_IN_042920
ERR7850083	SAMEA11476558		ALA_IN_050220
ERR7850084	SAMEA11476559		ALA_IN_050920
ERR7850085	SAMEA11476560		ALA_IN_051220
ERR7850086	SAMEA11476561		ALA_IN_051920
ERR7850087	SAMEA11476562		ALA_IN_052320
ERR7850088	SAMEA11476563		ALA_IN_052720
ERR7850089	SAMEA11476564		ALA_IN_053020
ERR7850090	SAMEA11476565		ALA_IN_060120
ERR7850091	SAMEA11476566	248311566	ALA_IN_061020
ERR7850092	SAMEA11476567	241624960	ALA_IN_061120
ERR7850093	SAMEA11476568	235528506	ALA_IN_061220
ERR7850094	SAMEA11476569	226212658	ALA_IN_061320
ERR7850095	SAMEA11476570	282502716	ALA_IN_062220
ERR7850096	SAMEA11476571	256977930	ALA_IN_062720
ERR7850097	SAMEA11476573	314210580	ALA_IN_070420
ERR7850098	SAMEA11476574	220716344	ALA_IN_070820
ERR7850099	SAMEA11476524	201485586	EJH_MT_061220
ERR7850100	SAMEA11476540	229418290	EJH_MT_062920
