Sample	GB	Raw	Cutadapt	Common	NotPhiX
China 2	17.4	176183176	166353451	160021618	159902260
China 3	16.6	167573470	158336651	145039758	144894876
Japan 2	15.0	151194708	143094819	127687760	127602782
Japan 3	17.8	179736146	170510914	164240716	164129358
Thailand 1	16.1	162510852	153198042	147386846	147264464
Thailand 2	22.7	228801518	216277032	204363784	204165396
Thailand 3	19.1	192754118	182230002	175241558	175078598
Singapore 2	14.8	149414266	141035981	135471138	135358600
Singapore 3	24.0	242276662	229620624	221236902	221064678
Greenland 2	16.7	168841036	159198587	145741288	145659526
Pakistan 2	25.7	259510838	243839457	226438106	226096876
Newark 1	19.0	191612966	179508252	172032622	171893198
Newark 2	18.5	187186964	176830027	166282122	166088144
Newark 3	20.1	203297524	192958099	185951916	185826762
Washington 1	20.6	207817972	194759326	186776622	186560962
Washington 2	16.1	162990704	153105589	147024384	146865532
Washington 3	19.6	198276096	187229170	179925000	179782256
Toronto 1	15.9	161044874	152006390	146162322	145976034
